X = interesting
M = empty module
F = float
U = Unicode
S = Stupid plaf convention
L = Lexer string corner case.

M 2 diff lines in ../../../../python/release25-maint/Lib/__phello__.foo.py
U 2 diff lines in ../../../../python/release25-maint/Lib/heapq.py
U 2 diff lines in ../../../../python/release25-maint/Lib/shlex.py
U 4 diff lines in ../../../../python/release25-maint/Lib/tarfile.py
F 12 diff lines in ../../../../python/release25-maint/Lib/zipfile.py
M 2 diff lines in ../../../../python/release25-maint/Lib/xml/etree/__init__.py
M 2 diff lines in ../../../../python/release25-maint/Lib/test/__init__.py
XU 2 diff lines in ../../../../python/release25-maint/Lib/test/pickletester.py
M 2 diff lines in ../../../../python/release25-maint/Lib/test/test_bastion.py
F 4 diff lines in ../../../../python/release25-maint/Lib/test/test_builtin.py
U 114 diff lines in ../../../../python/release25-maint/Lib/test/test_codeccallbacks.py
U 28 diff lines in ../../../../python/release25-maint/Lib/test/test_codecencodings_cn.py
U 6 diff lines in ../../../../python/release25-maint/Lib/test/test_codecencodings_hk.py
U 54 diff lines in ../../../../python/release25-maint/Lib/test/test_codecencodings_jp.py
U 18 diff lines in ../../../../python/release25-maint/Lib/test/test_codecencodings_kr.py
U 6 diff lines in ../../../../python/release25-maint/Lib/test/test_codecencodings_tw.py
U 14 diff lines in ../../../../python/release25-maint/Lib/test/test_codecmaps_jp.py
U 4 diff lines in ../../../../python/release25-maint/Lib/test/test_codecmaps_kr.py
U 8 diff lines in ../../../../python/release25-maint/Lib/test/test_codecmaps_tw.py
U 236 diff lines in ../../../../python/release25-maint/Lib/test/test_codecs.py
XU 4339 diff lines in ../../../../python/release25-maint/Lib/test/test_complex.py
X 270 diff lines in ../../../../python/release25-maint/Lib/test/test_complex_args.py
XU 12 diff lines in ../../../../python/release25-maint/Lib/test/test_cookielib.py
U 4 diff lines in ../../../../python/release25-maint/Lib/test/test_copy.py
L 972 diff lines in ../../../../python/release25-maint/Lib/test/test_doctest.py
XU 12 diff lines in ../../../../python/release25-maint/Lib/test/test_doctest2.py
U 6 diff lines in ../../../../python/release25-maint/Lib/test/test_exceptions.py
XU 8 diff lines in ../../../../python/release25-maint/Lib/test/test_gettext.py
X 34 diff lines in ../../../../python/release25-maint/Lib/test/test_grammar.py
X 240 diff lines in ../../../../python/release25-maint/Lib/test/test_hexoct.py
X 5 diff lines in ../../../../python/release25-maint/Lib/test/test_inspect.py
L 27989 diff lines in ../../../../python/release25-maint/Lib/test/test_mailbox.py
U 8 diff lines in ../../../../python/release25-maint/Lib/test/test_marshal.py
U 4 diff lines in ../../../../python/release25-maint/Lib/test/test_minidom.py
U 8 diff lines in ../../../../python/release25-maint/Lib/test/test_module.py
U 85 diff lines in ../../../../python/release25-maint/Lib/test/test_multibytecodec.py
U 9 diff lines in ../../../../python/release25-maint/Lib/test/test_multibytecodec_support.py
U 2 diff lines in ../../../../python/release25-maint/Lib/test/test_normalization.py
